id,location,30-Dec-19,06-Jan-20,13-Jan-20,20-Jan-20,27-Jan-20,03-Feb-20,10-Feb-20,17-Feb-20,24-Feb-20,02-Mar-20,09-Mar-20,16-Mar-20,23-Mar-20,30-Mar-20,06-Apr-20,13-Apr-20,20-Apr-20,27-Apr-20,Year to Date
S12000033,Aberdeen City,38,56,46,39,49,47,41,49,50,55,43,47,38,62,56,64,45,56,881
S12000034,Aberdeenshire,48,69,56,55,45,54,60,63,47,31,64,58,53,54,85,76,84,68,1070
S12000041,Angus,26,34,29,24,29,34,26,29,19,23,29,33,22,37,42,46,50,34,566
S12000035,Argyll and Bute,16,35,30,25,23,25,26,17,15,22,22,16,29,34,29,41,35,31,471
S12000036,City of Edinburgh,87,107,86,89,77,106,88,82,91,102,106,93,83,124,174,158,152,153,1958
S12000005,Clackmannanshire,11,13,18,16,17,7,20,12,9,11,10,15,14,16,19,11,13,21,253
S12000006,Dumfries and Galloway,37,58,42,42,43,44,43,39,37,40,36,41,28,73,53,42,43,45,786
S12000042,Dundee City,35,60,50,40,36,28,32,41,42,28,26,31,30,46,71,78,51,63,788
S12000008,East Ayrshire,25,37,40,26,26,30,24,24,34,35,37,39,47,26,38,47,42,36,613
S12000045,East Dunbartonshire,21,25,31,16,29,21,31,16,29,25,18,41,10,44,32,35,48,39,511
S12000010,East Lothian,23,34,26,24,17,28,22,19,23,23,23,18,15,26,55,36,36,25,473
S12000011,East Renfrewshire,13,26,23,24,18,20,24,18,16,19,9,14,20,20,32,39,28,27,390
S12000014,Falkirk,45,61,36,40,29,31,32,35,31,48,28,31,48,48,57,47,61,63,771
S12000015,Fife,70,96,96,96,79,81,80,88,79,79,80,70,98,82,109,113,102,110,1608
S12000046,Glasgow City,123,189,143,114,139,130,113,119,126,153,100,117,77,234,257,224,271,191,2820
S12000017,Highland,59,60,64,52,59,44,42,49,63,48,55,56,41,68,71,66,59,47,1003
S12000018,Inverclyde,25,24,28,18,23,23,20,20,26,21,15,23,13,63,64,62,43,35,546
S12000019,Midlothian,20,20,14,19,20,17,17,17,21,13,13,19,16,33,33,34,29,49,404
S12000020,Moray,27,23,20,23,15,30,18,19,14,20,21,27,21,25,17,29,18,14,381
S12000013,Na h-Eileanan Siar,9,8,10,10,10,11,3,8,10,6,11,5,5,6,8,8,10,5,143
S12000021,North Ayrshire,38,43,38,37,39,24,29,46,30,40,36,36,30,52,46,58,58,47,727
S12000044,North Lanarkshire,75,103,83,86,83,82,70,66,65,81,76,71,78,117,133,141,115,107,1632
S12000023,Orkney Islands,1,5,2,4,2,5,3,1,4,5,6,7,8,9,11,4,6,3,86
S12000024,Perth and Kinross,35,62,39,43,34,35,41,28,35,35,39,28,44,43,54,47,51,43,736
S12000038,Renfrewshire,43,55,46,43,33,35,39,41,37,43,39,44,26,75,71,81,97,75,923
S12000026,Scottish Borders,20,41,38,29,27,24,25,23,35,32,29,36,23,42,37,31,30,27,549
S12000027,Shetland Islands,5,4,2,2,5,6,4,4,3,4,3,3,9,8,8,3,2,6,81
S12000028,South Ayrshire,42,41,36,40,31,34,23,35,35,30,36,26,31,43,47,53,39,38,660
S12000029,South Lanarkshire,63,91,82,75,68,87,85,78,71,70,66,67,59,114,141,131,123,100,1571
S12000030,Stirling,20,18,14,22,21,17,21,18,17,16,17,20,12,32,34,27,23,23,372
S12000039,West Dunbartonshire,25,34,25,20,22,16,16,24,21,21,23,25,21,43,43,41,31,41,492
S12000040,West Lothian,36,35,29,33,40,40,44,34,36,28,40,39,30,45,51,43,41,51,695