,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,
,30-Dec-19,06-Jan-20,13-Jan-20,20-Jan-20,27-Jan-20,03-Feb-20,10-Feb-20,17-Feb-20,24-Feb-20,02-Mar-20,09-Mar-20,16-Mar-20,23-Mar-20,30-Mar-20,06-Apr-20,13-Apr-20,20-Apr-20,27-Apr-20,Year to Date
Aberdeen City,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,18,15,15,63
Aberdeenshire,0,0,0,0,0,0,0,0,0,0,0,1,1,4,21,25,23,13,88
Angus,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,12,19,7,49
Argyll and Bute,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,12,14,13,55
City of Edinburgh,0,0,0,0,0,0,0,0,0,0,0,1,3,17,61,64,71,61,278
Clackmannanshire,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,11,26
Dumfries and Galloway,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,3,6,40
Dundee City,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,29,27,22,107
East Ayrshire,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,12,11,10,49
East Dunbartonshire,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,18,20,66
East Lothian,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,21,15,5,64
East Renfrewshire,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,14,13,10,58
Falkirk,0,0,0,0,0,0,0,0,0,0,0,0,6,6,17,16,25,16,86
Fife,0,0,0,0,0,0,0,0,0,0,0,2,4,9,31,39,33,25,143
Glasgow City,0,0,0,0,0,0,0,0,0,0,0,1,7,46,97,95,123,83,452
Highland,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,8,3,33
Inverclyde,0,0,0,0,0,0,0,0,0,0,0,0,3,18,29,26,17,6,99
Midlothian,0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,16,15,26,75
Moray,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,8
Na h-Eileanan Siar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Ayrshire,0,0,0,0,0,0,0,0,0,0,0,1,5,10,15,13,11,13,68
North Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,5,28,46,46,33,37,195
Orkney Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Perth and Kinross,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,10,13,5,43
Renfrewshire,0,0,0,0,0,0,0,0,0,0,0,2,0,15,26,33,40,33,149
Scottish Borders,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,7,3,4,45
Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,7
South Ayrshire,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15,26,17,12,75
South Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,3,12,44,44,50,37,190
Stirling,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,11,5,5,44
West Dunbartonshire,0,0,0,0,0,0,0,0,0,0,0,0,2,16,17,17,18,16,86
West Lothian,0,0,0,0,0,0,0,0,0,0,0,1,2,8,15,8,12,6,52