time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
64,5.0,6.0,10.0,1.0,1.0,0.0,5.0,4.0,-1.0,-1.0,-1.0,0.0
65,-1.0,5.0,20.0,2.0,2.0,0.0,5.0,3.0,7.0,1.0,-2.0,0.0
66,0.0,2.0,4.0,2.0,1.0,0.0,1.0,5.0,3.0,10.0,-2.0,0.0
67,-2.0,2.0,-15.0,3.0,1.0,0.0,1.0,0.0,2.0,15.0,1.0,-1.0
68,1.0,5.0,21.0,10.0,0.0,-1.0,4.0,3.0,-10.0,12.0,1.0,-1.0
69,3.0,2.0,-2.0,1.0,0.0,1.0,1.0,3.0,8.0,3.0,-2.0,1.0
70,3.0,5.0,14.0,3.0,1.0,0.0,7.0,5.0,8.0,0.0,-2.0,1.0
71,0.0,4.0,-8.0,-4.0,0.0,1.0,3.0,2.0,3.0,-4.0,-2.0,1.0
72,-5.0,9.0,-7.0,-8.0,0.0,1.0,3.0,3.0,0.0,-4.0,-3.0,1.0
73,-4.0,9.0,-8.0,-7.0,-2.0,1.0,-4.0,3.0,-8.0,-2.0,-7.0,2.0
74,-13.0,8.0,-34.0,-11.0,-2.0,3.0,-8.0,2.0,-13.0,-5.0,-5.0,1.0
75,-8.0,5.0,-22.0,-4.0,-4.0,1.0,-12.0,5.0,-11.0,-4.0,-6.0,1.0
76,-6.0,17.0,-14.0,-16.0,-9.0,4.0,-1.0,18.0,10.0,-14.0,-12.0,3.0
77,-18.0,17.0,-10.0,-25.0,-16.0,7.0,-10.0,20.0,-1.0,-32.0,-18.0,7.0
78,-24.0,19.0,-4.0,-28.0,-24.0,10.0,-24.0,16.0,-25.0,-46.0,-28.0,11.0
79,-28.0,20.0,1.0,-32.0,-29.0,12.0,-23.0,17.0,-4.0,-48.0,-33.0,12.0
80,-35.0,7.0,-9.0,-34.0,-31.0,13.0,-37.0,5.0,-24.0,-48.0,-34.0,13.0
81,-57.0,1.0,-12.0,-44.0,-26.0,11.0,-60.0,-9.0,-49.0,-62.0,-32.0,11.0
82,-60.0,-15.0,-6.0,-44.0,-32.0,8.0,-68.0,-19.0,-27.0,-61.0,-38.0,
83,-53.0,-14.0,-32.0,-51.0,-48.0,18.0,-53.0,-14.0,-14.0,-62.0,-52.0,18.0
84,-75.0,-26.0,-30.0,-59.0,-61.0,24.0,-75.0,-32.0,-32.0,-74.0,-64.0,24.0
85,-78.0,-26.0,-25.0,-63.0,-67.0,27.0,-78.0,-34.0,-21.0,-77.0,-71.0,27.0
86,-80.0,-28.0,-16.0,-67.0,-69.0,28.0,-77.0,-36.0,-25.0,-79.0,-72.0,28.0
87,-80.0,-28.0,-28.0,-69.0,-69.0,30.0,-81.0,-34.0,-44.0,-80.0,-72.0,29.0
88,-87.0,-36.0,-55.0,-73.0,-60.0,,-88.0,-47.0,-74.0,-85.0,-65.0,
89,-86.0,-41.0,-46.0,-73.0,-58.0,,-90.0,-50.0,-64.0,-84.0,-65.0,
90,-77.0,-32.0,-15.0,-68.0,-70.0,27.0,-78.0,-40.0,-36.0,-80.0,-73.0,28.0
91,-79.0,-30.0,-30.0,-68.0,-71.0,28.0,-78.0,-36.0,-34.0,-80.0,-74.0,28.0
92,-79.0,-30.0,-27.0,-68.0,-70.0,29.0,-79.0,-38.0,-36.0,-81.0,-74.0,29.0
93,-81.0,-33.0,-33.0,-72.0,-71.0,30.0,-78.0,-35.0,-41.0,-82.0,-74.0,30.0
94,-80.0,-29.0,-33.0,-70.0,-70.0,30.0,-81.0,-37.0,-49.0,-81.0,-73.0,30.0
95,-86.0,-31.0,-30.0,-71.0,-60.0,,-86.0,-45.0,-64.0,-83.0,-64.0,
96,-84.0,-37.0,-39.0,-71.0,-57.0,,-88.0,-47.0,-46.0,-82.0,-61.0,
97,-78.0,-30.0,-20.0,-69.0,-71.0,28.0,-78.0,-39.0,-28.0,-80.0,-75.0,28.0
98,-79.0,-30.0,-9.0,-65.0,-71.0,28.0,-77.0,-35.0,-13.0,-77.0,-75.0,28.0
99,-80.0,-32.0,-32.0,-67.0,-71.0,29.0,-77.0,-34.0,-24.0,-80.0,-75.0,28.0
100,-80.0,-24.0,-19.0,-67.0,-72.0,29.0,-75.0,-27.0,-35.0,-79.0,-74.0,28.0
101,-80.0,-25.0,-28.0,-68.0,-73.0,30.0,-82.0,-39.0,-39.0,-82.0,-84.0,33.0
102,-85.0,-25.0,-2.0,-64.0,-61.0,,-86.0,-40.0,-58.0,-82.0,-64.0,
103,-87.0,-42.0,-46.0,-72.0,-58.0,,-95.0,-64.0,-49.0,-83.0,-66.0,
104,-82.0,-38.0,-20.0,-72.0,-76.0,30.0,-81.0,-47.0,-34.0,-84.0,-86.0,
105,-79.0,-29.0,-9.0,-64.0,-71.0,28.0,-74.0,-31.0,-13.0,-77.0,-74.0,27.0
106,-78.0,-27.0,9.0,-65.0,-71.0,28.0,-77.0,-35.0,-21.0,-79.0,-74.0,28.0
107,-80.0,-29.0,-16.0,-66.0,-71.0,29.0,-76.0,-34.0,-18.0,-78.0,-74.0,28.0
108,-80.0,-27.0,-6.0,-67.0,-71.0,30.0,-81.0,-35.0,-39.0,-80.0,-73.0,30.0
109,-86.0,-29.0,-4.0,-68.0,-58.0,,-86.0,-45.0,-63.0,-82.0,-62.0,
110,-84.0,-33.0,12.0,-65.0,-54.0,,-87.0,-46.0,-40.0,-80.0,-60.0,
111,-78.0,-31.0,32.0,-65.0,-70.0,27.0,-76.0,-38.0,-25.0,-77.0,-72.0,27.0
112,-79.0,-29.0,33.0,-65.0,-69.0,27.0,-76.0,-37.0,-25.0,-76.0,-72.0,27.0
113,-80.0,-30.0,15.0,-67.0,-69.0,28.0,-78.0,-39.0,-25.0,-78.0,-72.0,28.0
114,-81.0,-26.0,42.0,-66.0,-69.0,28.0,-76.0,-36.0,-29.0,-77.0,-73.0,28.0
115,-81.0,-27.0,-7.0,-70.0,-68.0,29.0,-79.0,-35.0,-34.0,-77.0,-71.0,28.0
116,-85.0,-27.0,-7.0,-69.0,-56.0,,-85.0,-42.0,-56.0,-79.0,-60.0,
117,-84.0,-34.0,-28.0,-70.0,-55.0,,-86.0,-47.0,-45.0,-80.0,-59.0,
118,-80.0,-32.0,-13.0,-68.0,-69.0,27.0,-75.0,-38.0,-24.0,-75.0,-72.0,27.0
119,-80.0,-29.0,8.0,-65.0,-69.0,25.0,-75.0,-39.0,-36.0,-78.0,-72.0,24.0
120,-80.0,-29.0,10.0,-64.0,-68.0,28.0,-78.0,-41.0,-55.0,-80.0,-73.0,28.0
121,-79.0,-27.0,1.0,-68.0,-69.0,29.0,-76.0,-34.0,-36.0,-77.0,-72.0,28.0
122,-79.0,-27.0,5.0,-67.0,-68.0,28.0,-80.0,-36.0,-47.0,-76.0,-71.0,29.0
123,-84.0,-26.0,-18.0,-68.0,-56.0,,-84.0,-41.0,-56.0,-77.0,-60.0,
